DataSetId,app_name,handle,creator,trackers
134743,Molotov - TV en direct et en replay,tv.molotov.app,Molotov,"17,27,66,67,69,70,52,62,125,401,49"
16370,Plex,com.plexapp.android,"Plex, Inc.","27,28,66,67,69,70,312,49"
119812,Radio France - podcasts & direct radio,com.radiofrance.radio.radiofrance.android,Radio France,"31,23,25,27,35,66,65,67,69,70,52,7,92,89,121,106,199,401,328,72,312,49,90,165,34,169,107"
193521,Samsung Health,com.sec.android.app.shealth,"Samsung Electronics Co.,  Ltd.","48,105,101,361,312,49"
166350,Shapr  Data-Driven Networking,com.shapr,Shapr,"12,17,27,48,52,49"
36651,"Truecaller: Caller ID, spam blocking & call record",com.truecaller,True Software Scandinavia AB,"25,27,35,66,67,70,65,61,106,174,312,49"
12874,Western Union International: Send Money & Transfer,com.westernunion.moneytransferr3app.eu,Western Union Android Apps,"17,27,26,48,58,105,167,127,312,49"
85524,ZEDGE Ringtones & Wallpapers,net.zedge.android,Zedge,"17,25,27,35,48,66,61,65,67,69,70,92,121,125,105,106,191,412,305,218,312,49,34,126,379"
134412,Pokémon GO,com.nianticlabs.pokemongo,"Niantic, Inc.","17,58,66,67,69,70,155"
166472,Practo Pro - For Doctors,com.practo.droid,Practo,"12,27,174,193,234,49,118"
37703,Ticket Gretchen - Event App,com.ticketgretchen.tgapp,Ticket Gretchen,"27,12,66,67,69,70,167,174,49"
190869,Jorte Calendar & Organizer,jp.co.johospace.jorte,Jorte Inc.,"35,48,52,105,218,312,49,354,367,365"
62717,"dfndr security: antivirus, anti-hacking & cleaner",com.psafe.msuite,PSafe,"25,27,35,12,48,65,61,83,105,133,104,145,184,185,210,200,231,412,218,312,49,126,107"
31101,WiFi Overview 360,de.android.wifiscanner,,"25,216,35,48,53,65,61,159,83,92,105,106,121,199,184,198,183,195,196,408,317,218,72,90,312,49,352,34,165,169,107,146,73"
10568,Runtopia Running Workout,net.blastapp,Codoon Inc.,"12,66,67,70,48,105,116,190,361,312,49"
170367,Sports Tracker Running Cycling,com.stt.android,Amer Sports Digital,"17,27,58,66,67,69,70,171,312,49"
166735,Onmyoji,com.netease.onmyoji.gb,NetEase Games,"12,66,67,70,97,361,312,49"
68093,StarTracker VR -Mobile Sky Map,com.PYOPYO.StarTrackerVR,PYOPYO Studio,"27,1,48,57,44,105,408,318,312,49,354"
166786,Yoyo Wallet,com.justyoyo,Yoyo Wallet Limited,"17,27,67,70,167,211,49,118"
166788,Meerkat,com.ctm.cinema,,"27,48,192,242,312,49,126"
163780,MyRadar Weather Radar,com.acmeaom.android.myradar,ACME AtronOmatic LLC,"27,66,57,65,67,69,70,312,49"
8269,XING,com.xing.android,XING SE,"17,26,8,56,52,197,312,49"
24107,TV Time - Track What You Watch,com.tozelabs.tvshowtime,Toze Labs,"17,25,27,12,66,67,69,70,65,135,106,312,49"
16926,Tango - Live Video Broadcast,com.sgiggle.production,Tango,"25,27,35,66,67,69,70,65,61,106,219,184,218,312,49,354,168,160"
188434,Viber Messenger,com.viber.voip,Viber Media S.à r.l.,"15,17,27,52,282,328,312,49,118,382"
36652,"Truecaller: Caller ID, spam blocking & call record",com.truecaller,True Software Scandinavia AB,"25,27,35,66,67,70,65,61,106,174,312,49"
149022,FullContact Address Book,com.fullcontact.ledene,FullContact,"17,27,49"
76300,Free Adblocker Browser - Adblock & Popup Blocker,com.hsv.freeadblockerbrowser,"Adblock - Rocketshield, Inc.","26,25,65,61,52,106,408,312,49,352,168"
67891,Wheres My Droid,com.alienmanfc6.wheresmyandroid,Alienman Technologies LLC,"1,66,48,57,105,219,312,49,354"
174766,Find My Phone,com.fsp.android.phonetracker,Family Safety Production,"26,12,17,27,58,66,67,69,70,125,167,171,312,49"
87936,VeryFitPro,com.veryfit2hr.second,Smart Wearable Devices,"66,67,70,99,101,119,190,361"
20226,Dashlane Free Password Manager,com.dashlane,Dashlane,"17,27,26,52,49"
173066,Speed Test & 3G 4G WiFi Maps - free network tool,com.staircase3.opensignal,OpenSignal.com,"27,48,49,352"
32522,iTimeKeep,com.bellefield.itimekeep,"Bellefield Systems, LLC","17,49"
106456,AirDroid: Remote access & File,com.sand.airdroid,SAND STUDIO,"27,48,66,65,67,69,70,105,361,312,49"
196994,Network Signal Guru,com.qtrun.QuickTest,QTRUN Technologies,361
171861,"Canva: Graphic Design for Flyers, Logos & Posters",com.canva.editor,Canva,"12,17,27,67,69,70,62,125,167,312"
167211,Sounds App Music for Instagram,com.vimies.getsoundsapp,Sounds app,"28,27,48,66,67,68,69,70,52,105,167,49"
